"Name","SessionName","BeginTime","EndTime"
"Dexter Johnson","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Corinne Gavette","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Debbie Malone","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Debbie Malone","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Scott Burgess","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Ian Tolleson","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Rick Berkobien","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Erin Seiler","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Patrick Brennan","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Rick Berkobien","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Gina Rumbaugh","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Bill Taylor","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Patrick Brennan","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Anna Grimes","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Paul Warner","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Ken Rocco","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Mike Reiley","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sandy Thiele-Cirka","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Gina Rumbaugh","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Ken Rocco","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Patsy Wood","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Bill Taylor","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Dana Richardson","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sue Hampton","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Bill Taylor","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sue Hampton","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sandy Thiele-Cirka","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Mazen Malik","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Dae Baek","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Dae Baek","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Debbie Malone","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Steve Meyer","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Debbie Malone","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Bill Taylor","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Debbie Malone","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Rick Berkobien","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Debbie Malone","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Patrick Brennan","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Anna Braun","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Anna Braun","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Corinne Gavette","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Corinne Gavette","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sue Hampton","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Bill Taylor","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Debbie Malone","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Theresa Van Winkle","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Mike Reiley","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Rick Berkobien","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sue Hampton","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Bill Taylor","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sandy Thiele-Cirka","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sandy Thiele-Cirka","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Bill Taylor","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Steve Meyer","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Chris Allanach","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Paul Warner","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Bill Taylor","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Anna Braun","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Theresa Van Winkle","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sue Hampton","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Theresa Van Winkle","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sue Hampton","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Erin Seiler","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Dana Richardson","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Erin Seiler","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Patrick Brennan","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Mike Reiley","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Erin Seiler","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Rick Berkobien","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sandy Thiele-Cirka","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Erin Seiler","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Beth Patrino","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sue Hampton","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Beth Patrino","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sue Hampton","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Dana Richardson","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Debbie Malone","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Rick Berkobien","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Debbie Malone","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sandy Thiele-Cirka","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Mike Reiley","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sandy Thiele-Cirka","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Dana Richardson","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Marjorie Taylor","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Mazen Malik","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Steve Meyer","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Chris Allanach","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Paul Warner","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Patrick Brennan","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Theresa Van Winkle","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sue Hampton","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Beth Patrino","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Mike Reiley","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Patrick Brennan","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Debbie Malone","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
